,Duration,Air Temp F,Wind Spd (mph),Hour,Date
474,945.536175,79,6.9,18,5/20/2018
475,1576.191203,75,5.8,19,5/20/2018
476,1156.273556,74,4.6,20,5/20/2018
477,890.3211726,72,3.5,21,5/20/2018
478,794.4631043,70,8.1,22,5/20/2018
479,897.8243021,68,4.6,23,5/20/2018
480,897.3409091,66,0,0,5/21/2018
481,878.7634409,66,0,1,5/21/2018
482,1210.103774,64,0,2,5/21/2018
483,442.7802198,63,3.5,3,5/21/2018
484,698.36,63,0,4,5/21/2018
485,602.756238,61,4.6,5,5/21/2018
486,702.559633,57,0,6,5/21/2018
487,793.9602754,61,0,7,5/21/2018
488,893.0271817,62,4.6,8,5/21/2018
489,845.9146253,64,0,9,5/21/2018
490,875.3303044,66,6.9,10,5/21/2018
491,946.9731423,69,5.8,11,5/21/2018
492,869.3386594,73,4.6,12,5/21/2018
493,958.044843,73,0,13,5/21/2018
494,904.6774306,77,0,14,5/21/2018
495,1431.766751,79,0,15,5/21/2018
496,1083.164357,73,5.8,16,5/21/2018
497,1323.261522,73,0,17,5/21/2018
498,1144.411278,73,5.8,18,5/21/2018
499,874.0049281,70,4.6,19,5/21/2018
500,893.7391304,68,4.6,20,5/21/2018
501,830.626554,66,0,21,5/21/2018
502,796.9492466,64,0,22,5/21/2018
503,719.0271739,64,8.1,23,5/21/2018
504,1105.943343,64,0,0,5/22/2018
505,1626.188889,64,0,1,5/22/2018
506,855,62,3.5,2,5/22/2018
507,636.2711864,64,3.5,3,5/22/2018
508,659.2211538,64,0,4,5/22/2018
509,638.802583,64,0,5,5/22/2018
510,651.8048544,64,0,6,5/22/2018
511,775.0440803,64,0,7,5/22/2018
512,827.2805949,68,0,8,5/22/2018
513,786.1204398,68,0,9,5/22/2018
514,731.8944785,68,0,10,5/22/2018
515,821.5953788,64,3.5,11,5/22/2018
516,779.458042,64,4.6,12,5/22/2018
517,740.0774487,65,5.8,13,5/22/2018
518,621.3126911,64,0,14,5/22/2018
519,659.973064,60,0,15,5/22/2018
520,645.3238095,57,0,16,5/22/2018
521,748.5214797,56,0,17,5/22/2018
522,881.5861105,57,0,18,5/22/2018
523,1001.197971,57,0,19,5/22/2018
524,699.7473817,57,0,20,5/22/2018
525,1180.797362,57,0,21,5/22/2018
526,744.5703704,58,0,22,5/22/2018
527,666.0965517,59,0,23,5/22/2018
528,682.6368286,59,0,0,5/23/2018
529,1361.131707,59,0,1,5/23/2018
530,905.7068966,59,0,2,5/23/2018
531,768.25,59,3.5,3,5/23/2018
532,448.1794872,59,0,4,5/23/2018
533,607.4271605,59,0,5,5/23/2018
534,656.6655192,59,3.5,6,5/23/2018
535,812.5707547,61,3.5,7,5/23/2018
536,828.2335635,62,0,8,5/23/2018
537,836.1825868,64,0,9,5/23/2018
538,861.0695689,67,3.5,10,5/23/2018
539,884.2042318,70,0,11,5/23/2018
540,829.0152814,71,5.8,12,5/23/2018
541,900.9992877,71,2.9,13,5/23/2018
542,1148.549933,74,0,14,5/23/2018
543,2112.990476,78,4.6,15,5/23/2018
544,895.3956614,78,0,16,5/23/2018
545,1130.802739,80,2.3,17,5/23/2018
546,940.4781746,80,4.6,18,5/23/2018
547,902.8877078,79,4.6,19,5/23/2018
548,1094.799663,78,4.6,20,5/23/2018
549,964.0299824,77,3.5,21,5/23/2018
550,865.0914489,75,3.5,22,5/23/2018
551,975.7771483,74,4.6,23,5/23/2018
552,834.8016529,71,0,0,5/24/2018
553,984.4112903,70,3.5,1,5/24/2018
554,689.2,68,4.6,2,5/24/2018
555,514.9347826,67,0,3,5/24/2018
556,480.7475728,67,3.5,4,5/24/2018
557,627.6298569,64,0,5,5/24/2018
558,698.0269271,64,5.8,6,5/24/2018
559,949.0528044,64,8.1,7,5/24/2018
560,826.5688579,66,5.8,8,5/24/2018
561,799.3037373,69,3.5,9,5/24/2018
562,895.8047292,72,1.8,10,5/24/2018
563,846.0187656,75,0,11,5/24/2018
564,960.5347079,78,0,12,5/24/2018
565,804.0555923,80,0,13,5/24/2018
