Date-Time,Duration,Air Temp F,Wind Spd (mph)
2018-05-05-12,939.4426803642307,69,4.599999999999969
2018-05-05-13,1417.5331223151707,73,4.599999999999923
2018-05-05-14,1042.7704993128723,74,0.0
2018-05-05-15,1077.1278106508876,75,0.0
2018-05-05-16,1049.102261553589,75,4.600000000000044
2018-05-05-17,971.3555014868883,71,5.7999999999996
2018-05-05-18,947.448,69,4.600000000000237
2018-05-05-19,1057.2500964878425,70,3.5
2018-05-05-20,863.2927756653993,69,0.0
2018-05-05-21,1219.919268849962,69,0.0
2018-05-05-22,766.0834042553191,69,4.60000000000004
2018-05-05-23,857.9526686807653,68,3.5
2018-05-06-00,830.1458333333334,66,5.800000000000077
2018-05-06-01,905.4037735849057,66,5.80000000000004
2018-05-06-02,902.2063037249284,66,3.5
2018-05-06-03,707.8053691275168,65,0.0
2018-05-06-04,800.3090909090909,63,0.0
